"region","lon","lat"
"ARECIBO","-66.54644","18.43553"
"ARECIBO","-66.35893","18.41528"
"CAGUAS","-66.06222","17.96755"
"HUMACAO","-65.89412","18.14595"
"MAYAGUEZ","-67.14831","18.44241"
"MAYAGUEZ","-67.15607","18.4176"
"PONCE","-66.72544","18.16602"
"SAN JUAN","-66.02834","18.33214"
"PONCE","-66.37419","18.07602"
"ARECIBO","-66.7884","18.42787"
"CAGUAS","-66.03634","18.22767"
"MAYAGUEZ","-67.13304","18.20456"
"PONCE","-66.61794","18.03298"
"MAYAGUEZ","-67.17712","18.33827"
"ARECIBO","-66.73029","18.46265"
"CAGUAS","-66.21367","18.09472"
"SAN JUAN","-66.00487","18.41079"
"ARECIBO","-66.38986","18.44552"
"CAGUAS","-66.05509","17.99222"
"MAYAGUEZ","-67.029998","18.488838"
"SAN JUAN","-66.1114","18.4656"
"BAYAMON","-66.21663","18.3869"
"CAGUAS","-66.05954","17.97133"
"SAN JUAN","-66.04571","18.35929"
"BAYAMON","-66.1867","18.30055"
"CAGUAS","-66.01573","18.21861"
"CAGUAS","-66.16442","17.95605"
"BAYAMON","-66.25396","18.40243"
"PONCE","-66.86064","18.03668"
"BAYAMON","-66.2489","18.39091"
"CAGUAS","-66.2512","18.02498"
"ARECIBO","-66.33306","18.43816"
"HUMACAO","-65.71484","18.23432"
"MAYAGUEZ","-66.95729","18.07944"
"PONCE","-66.35747","18.07834"
"BAYAMON","-66.22946","18.4442"
"PONCE","-66.93638","17.96766"
"BAYAMON","-66.39252","18.22397"
"ARECIBO","-66.26696","18.46249"
"HUMACAO","-65.88425","18.3876"
"SAN JUAN","-65.95893","18.38445"
"PONCE","-66.8032","18.28419"
"BAYAMON","-66.89","18.308"
"PONCE","-66.74315","18.06551"
"SAN JUAN","-66.09599","18.37651"
"PONCE","-66.58487","18.01205"
"HUMACAO","-65.65554","18.34179"
"PONCE","-66.58811","18.21938"
"ARECIBO","-66.83816","18.29084"
"BAYAMON","-66.27853","18.31365"
"HUMACAO","-66.01649","18.00749"
"BAYAMON","-66.14879","18.38037"
"SAN JUAN","-66.03896","18.3547"
"ARECIBO","-66.47404","18.34071"
"HUMACAO","-65.89991","18.24354"
"ARECIBO","-66.48107","18.42371"
"ARECIBO","-66.93604","18.47474"
"HUMACAO","-65.87768","18.03961"
"SAN JUAN","-66.09315","18.3798"
"PONCE","-66.62222","17.99976"
"MAYAGUEZ","-67.07915","18.37883"
"SAN JUAN","-66.11586","18.38058"
"MAYAGUEZ","-66.94436","18.07258"
"HUMACAO","-65.73694","18.2083"
"SAN JUAN","-66.05916","18.41281"
"MAYAGUEZ","-67.15569","18.36866"
"PONCE","-66.61019","18.01171"
"BAYAMON","-66.1717","18.397"
"CAGUAS","-66.10653","18.205"
"HUMACAO","-65.82277","18.14893"
"SAN JUAN","-66.0433","18.42046"
"SAN JUAN","-66.12109","18.40019"
"ARECIBO","-66.56795","18.35825"
"ARECIBO","-66.39969","18.43197"
"SAN JUAN","-66.03416","18.41278"
"BAYAMON","-66.18355","18.40438"
"SAN JUAN","-66.1255","18.39606"
"PONCE","-66.4909","17.99454"
"PONCE","-66.54771","18.05104"
"PONCE","-66.54824","18.04971"
"MAYAGUEZ","-67.09782","18.48632"
"CAGUAS","-66.23547","18.25357"
"SAN JUAN","-65.98575","18.36965"
"MAYAGUEZ","-66.98115","18.27701"
"CAGUAS","-66.2187","18.22355"
"BAYAMON","-66.40972","18.35627"
"HUMACAO","-65.91383","18.3727"
"SAN JUAN","-66.04356","18.42757"
"ARECIBO","-66.55081","18.36364"
"PONCE","-66.50693","18.0613"
"HUMACAO","-65.47612","18.09832"
"PONCE","-66.6955","18.26701"
"PONCE","-66.66209","18.03512"
"HUMACAO","-65.91583","18.39002"
"SAN JUAN","-66.06586","18.45074"
"PONCE","-66.64463","18.00938"
"PONCE","-66.63531","18.07412"
"ARECIBO","-66.83379","18.18159"
"BAYAMON","-66.17287","18.34489"
"ARECIBO","-66.75505","18.44455"
"SAN JUAN","-66.06661","18.39722"
"MAYAGUEZ","-67.04663","18.08377"
"CAGUAS","-66.03645","18.21653"
"MAYAGUEZ","-67.00668","18.17701"
"SAN JUAN","-66.08094","18.41698"
"HUMACAO","-65.84837","18.17576"
"CAGUAS","-66.31499","18.19014"
"ARECIBO","-66.32461","18.40969"
"HUMACAO","-65.98483","17.97855"
"SAN JUAN","-66.08589","18.40596"
"CAGUAS","-66.26474","17.9481"
"SAN JUAN","-66.04872","18.42167"
"SAN JUAN","-66.02299","18.41119"
"MAYAGUEZ","-67.07786","18.16491"
"ARECIBO","-66.84753","18.48542"
"MAYAGUEZ","-66.95316","18.28826"
"SAN JUAN","-66.0547","18.41045"
"PONCE","-66.88604","18.15246"
"ARECIBO","-66.56535","18.37234"
"HUMACAO","-65.86748","18.17711"
"MAYAGUEZ","-67.05692","18.04897"
"HUMACAO","-65.84961","18.37947"
"PONCE","-66.63638","18.00529"
"HUMACAO","-65.80006","18.14178"
"PONCE","-66.66344","17.98348"
"ARECIBO","-66.38459","18.44501"
"PONCE","-66.55013","18.04644"
"PONCE","-66.86819","18.03055"
"MAYAGUEZ","-67.0467","18.08373"
"BAYAMON","-66.18587","18.4602"
"ARECIBO","-66.82068","18.48155"
"SAN JUAN","-65.96083","18.38453"
"MAYAGUEZ","-67.12787","18.44366"
"PONCE","-66.62923","17.98624"
"BAYAMON","-66.17691","18.40615"
"PONCE","-66.87173","18.01222"
"CAGUAS","-66.12094","17.98191"
"ARECIBO","-66.85207","18.46535"
"ARECIBO","-66.89158","18.43254"
"HUMACAO","-65.90108","18.37639"
"PONCE","-66.5049","18.04658"
"SAN JUAN","-66.04097","18.4478"
"BAYAMON","-66.25291","18.44053"
"ARECIBO","-66.77566","18.40733"
"SAN JUAN","-66.09184","18.39644"
"CAGUAS","-66.09312","18.17288"
"ARECIBO","-66.74674","18.4662"
"CAGUAS","-66.03114","18.22702"
"CAGUAS","-66.10552","18.2526"
"CAGUAS","-66.22447","18.21028"
"CAGUAS","-66.30545","18.1907"
"HUMACAO","-65.88035","18.38911"
"HUMACAO","-65.89445","18.07654"
"MAYAGUEZ","-67.13936","18.29424"
"PONCE","-66.49162","17.99439"
"SAN JUAN","-65.9861","18.40713"
"ARECIBO","-66.80866","18.45915"
"PONCE","-66.72525","18.26712"
"CAGUAS","-66.03687","18.2312"
"HUMACAO","-65.96116","18.18904"
"HUMACAO","-65.8449","18.20648"
"MAYAGUEZ","-67.15187","18.47391"
"MAYAGUEZ","-67.0591","18.04763"
"MAYAGUEZ","-67.13962","18.19982"
"PONCE","-66.89452","17.99822"
"PONCE","-66.84978","18.03198"
"SAN JUAN","-66.06457","18.44167"
"SAN JUAN","-66.04895","18.40019"
"ARECIBO","-66.26618","18.47445"
"SAN JUAN","-66.11382","18.42982"
"SAN JUAN","-66.11422","18.43065"
"MAYAGUEZ","-66.94919","18.07416"
"BAYAMON","-66.14257","18.39051"
"CAGUAS","-66.03664","18.22713"
"SAN JUAN","-66.049","18.44864"
"MAYAGUEZ","-66.99067","18.24953"
"CAGUAS","-66.11975","18.2571"
"ARECIBO","-66.29355","18.44889"
"HUMACAO","-65.7822","18.23751"
"HUMACAO","-65.83631","18.14278"
"SAN JUAN","-65.96129","18.39749"
"SAN JUAN","-66.07618","18.36228"
"MAYAGUEZ","-67.18349","18.38322"
"PONCE","-66.49979","18.12665"
"SAN JUAN","-66.07311","18.45368"
"PONCE","-66.88557","18.02262"
"MAYAGUEZ","-67.14468","18.20043"
"SAN JUAN","-66.03627","18.41334"
"BAYAMON","-66.45265","18.32295"
"SAN JUAN","-66.05075","18.4356"
"BAYAMON","-66.32008","18.34263"
"MAYAGUEZ","-67.02006","18.50045"
"CAGUAS","-66.22877","18.21458"
"SAN JUAN","-66.05231","18.44191"
"SAN JUAN","-66.04019","18.43286"
"PONCE","-66.50271","18.05249"
"SAN JUAN","-65.97608","18.40091"
"MAYAGUEZ","-67.24906","18.33557"
"MAYAGUEZ","-67.22667","18.31354"
"PONCE","-66.60129","18.0327"
"PONCE","-66.40544","17.96654"
"ARECIBO","-66.40829","18.42951"
"MAYAGUEZ","-67.00878","18.34929"
"ARECIBO","-66.35498","18.46092"
"ARECIBO","-66.3594","18.43684"
"HUMACAO","-65.87181","18.12972"
"BAYAMON","-66.21746","18.36956"
"CAGUAS","-66.02402","18.24024"
"CAGUAS","-66.18013","17.95256"
"ARECIBO","-66.277","18.42929"
"MAYAGUEZ","-67.07841","18.38013"
"SAN JUAN","-66.1095","18.358"
"CAGUAS","-65.97421","18.25695"
"CAGUAS","-66.19505","18.24905"
"BAYAMON","-66.21204","18.36425"
"ARECIBO","-66.75795","18.4413"
"HUMACAO","-65.99002","18.12042"
"HUMACAO",,
"MAYAGUEZ","-67.1531","18.19648"
"PONCE","-66.63009","17.9994"
"BAYAMON","-66.14577","18.37452"
"BAYAMON","-66.14978","18.38669"
"HUMACAO","-65.64413","18.30089"
"BAYAMON","-66.20003","18.40004"
"PONCE","-66.90846","17.9729"
"PONCE","-66.70563","18.26778"
"MAYAGUEZ","-67.15468","18.17974"
"HUMACAO","-65.4533","18.12417"
"HUMACAO","-65.9682","17.99197"
"BAYAMON","-66.18531","18.42989"
"SAN JUAN","-65.9754","18.40368"
"BAYAMON","-66.19601","18.3432"
"MAYAGUEZ","-67.16815","18.3024"
"MAYAGUEZ","-67.02065","18.12821"
"SAN JUAN","-66.0943","18.31826"
"BAYAMON","-66.14604","18.37307"
"MAYAGUEZ","-67.14982","18.2075"
"HUMACAO","-66.01033","18.03096"
"MAYAGUEZ","-67.04055","18.04973"
"HUMACAO","-65.90717","18.04359"
"BAYAMON","-66.1865","18.35196"
"PONCE","-66.4043","17.96771"
"BAYAMON","-66.20876","18.39932"
"SAN JUAN","-65.98612","18.36201"
"MAYAGUEZ","-66.99899","18.48822"
"CAGUAS","-65.97079","18.25481"
"HUMACAO","-65.86009","18.22708"
"SAN JUAN","-66.00569","18.35391"
"HUMACAO","-65.84256","18.42529"
"BAYAMON","-66.25763","18.33572"
"BAYAMON","-66.14768","18.4355"
"BAYAMON","-66.24852","18.30151"
"ARECIBO","-66.44402","18.44232"
"MAYAGUEZ","-67.11177","18.13669"
"PONCE","-66.5794","18.20239"
"BAYAMON","-66.14894","18.36926"
"PONCE","-66.71168","18.05554"
"CAGUAS","-66.14892","18.1174"
"CAGUAS","-66.16099","18.116"
"BAYAMON","-66.17751","18.36999"
"SAN JUAN","-66.04326","18.40972"
"SAN JUAN","-66.04858","18.42789"
"MAYAGUEZ","-67.16392","18.02742"
"HUMACAO","-65.45249","18.13634"
"CAGUAS","-66.04733","18.22953"
"MAYAGUEZ","-66.99394","18.34442"
"BAYAMON","-66.39222","18.22935"
"SAN JUAN","-66.07912","18.422"
"MAYAGUEZ","-66.99974","18.44909"
"CAGUAS","-66.03105","18.23249"
"BAYAMON","-66.24862","18.39144"
"PONCE","-66.48902","18.12707"
"SAN JUAN","-66.02517","18.37504"
"ARECIBO","-66.48679","18.46071"
"ARECIBO","-66.389915","18.445451"
"MAYAGUEZ","-67.02416","18.50459"
"SAN JUAN","-65.98879","18.33055"
"SAN JUAN","-66.77472222","18.36777778"
"BAYAMON","-66.19346","18.27695"
"ARECIBO","-66.55698","18.4454"
"BAYAMON",,
"HUMACAO","-65.84931","18.4261"
"ARECIBO","-66.46743","18.33875"
"PONCE","-66.89052","17.97851"
"MAYAGUEZ","-67.11","18.17071"
"BAYAMON","-66.12877","18.44228"
"CAGUAS","-66.12427","17.97367"
"CAGUAS","-66.05608","18.2269"
"MAYAGUEZ","-67.01939","18.30491"
"BAYAMON","-66.18717","18.37854"
"CAGUAS","-66.303","18.1861"
"CAGUAS","-66.33674","18.21316"
"SAN JUAN","-66.05184","18.42225"
"PONCE","-66.79016","18.01897"
"MAYAGUEZ","-67.21744","18.35966"
"SAN JUAN","-66.06507","18.44663"
"BAYAMON","-66.17469","18.39419"
"BAYAMON","-66.17412","18.39451"
"HUMACAO","-65.65383","18.25293"
"MAYAGUEZ","-67.14441","18.29601"
"PONCE","-66.56172","18.08289"
"HUMACAO","-65.84285","18.42423"
"SAN JUAN","-65.98505","18.42466"
"PONCE","-66.65252","18.22721"
"MAYAGUEZ","-66.98298","18.33305"
"PONCE","-66.85827","18.05524"
"SAN JUAN","-65.96646","18.31392"
"CAGUAS","-66.04353","18.22055"
"ARECIBO","-66.88499","18.48358"
"HUMACAO","-65.89179","18.21698"
"SAN JUAN","-66.09346","18.4155"
"SAN JUAN","-66.08736","18.41638"
"PONCE","-66.52275","18.05349"
"HUMACAO","-65.83181","18.37933"
"MAYAGUEZ","-67.14362","18.08749"
"HUMACAO","-65.87902","18.27123"
"SAN JUAN","-65.93524","18.35311"
"PONCE","-66.43702","17.9842"
"CAGUAS","-66.04055","18.25727"
"SAN JUAN","-65.98987","18.40196"
"MAYAGUEZ",,
"BAYAMON","-66.12655","18.39477"
"HUMACAO","-65.64717","18.33473"
"CAGUAS","-66.21326","17.96832"
"CAGUAS","-66.04732","18.24005"
"CAGUAS","-66.03261","18.24623"
"HUMACAO","-65.82777","18.11886"
"ARECIBO","-66.2906","18.1812"
"ARECIBO","-66.46694","18.42493"
"HUMACAO","-65.84094","18.14719"
"SAN JUAN","-65.99807","18.38"
"SAN JUAN","-66.01117","18.36882"
"CAGUAS","-66.30603","18.18624"
"CAGUAS","-66.22944444","18.18625"
"HUMACAO","-65.4513","18.14139"
"PONCE","-66.61032","18.01103"
"BAYAMON","-66.35352","18.29165"
"HUMACAO","-65.85451","18.36096"
"SAN JUAN","-65.9284","18.36848"
"MAYAGUEZ","-67.18501","18.37625"
"PONCE","-66.845207","18.010869"
"HUMACAO",,
"MAYAGUEZ",,
"PONCE","-66.35917","18.07771"
"HUMACAO","-65.7462","18.24141"
"HUMACAO","-65.98414","18.13669"
"PONCE","-66.80246","18.03552"
"CAGUAS","-66.24904","18.13298"
"CAGUAS","-66.11062","18.0031"
"PONCE","-66.72388","18.16476"
"BAYAMON","-66.17162","18.36303"
"MAYAGUEZ","-67.13033","18.47675"
"SAN JUAN","-66.08134","18.45008"
"SAN JUAN","-66.00711","18.32055"
"BAYAMON","-66.12502","18.43734"
"MAYAGUEZ","-67.13742","18.18695"
"HUMACAO","-65.83289","18.37979"
"CAGUAS","-66.24332","18.06552"
"MAYAGUEZ","-67.12905","18.39809"
"MAYAGUEZ","-67.09893","18.12819"
"SAN JUAN","-66.04171","18.42006"
"BAYAMON","-66.18065","18.3796"
"ARECIBO","-66.30981","18.41734"
"ARECIBO","-66.40785","18.44813"
"SAN JUAN","-66.10076","18.39799"
"PONCE","-66.72358","18.0538"
"SAN JUAN","-66.07433","18.45003"
"MAYAGUEZ","-67.12929","18.20052"
"SAN JUAN","-66.10934","18.35539"
"HUMACAO","-65.71711","18.37759"
"CAGUAS","-66.26321","18.13971"
"SAN JUAN","-66.08049","18.3505"
"HUMACAO","-65.77384","18.36935"
"SAN JUAN","-66.09799","18.3888"
"HUMACAO","-66.01258","18.00472"
"ARECIBO","-66.8733","18.47208"
"PONCE","-66.60845","18.01329"
"ARECIBO","-66.94929","18.45737"
"BAYAMON","-66.12443","18.43641"
"ARECIBO","-66.88992","18.29245"
"MAYAGUEZ","-67.1338","18.02887"
"MAYAGUEZ","-67.12281","18.13634"
"ARECIBO","-66.93838","18.47587"
"PONCE","-66.36495","18.07382"
"PONCE","-66.46993","18.15672"
"CAGUAS","-66.16897","18.25743"
"MAYAGUEZ","-66.99661","18.33988"
"PONCE","-66.60203","18.00711"
"SAN JUAN","-66.1029","18.37666"
"BAYAMON","-66.17196","18.41609"
"MAYAGUEZ","-67.07238","18.0029"
"PONCE","-66.75445","18.06048"
"HUMACAO","-65.86987","18.18197"
"SAN JUAN","-66.05088","18.44957"
"HUMACAO","-65.88209","18.04474"
"HUMACAO","-65.6511","18.32564"
"BAYAMON","-66.43418","18.30338"
"SAN JUAN","-66.05112","18.40036"
"MAYAGUEZ","-66.97977","18.18268"
"CAGUAS","-66.14784","18.16578"
"SAN JUAN","-65.97511","18.42293"
"SAN JUAN","-66.08183","18.39543"
"SAN JUAN","-66.04092","18.39772"
"CAGUAS","-66.02877","18.23495"
"SAN JUAN","-66.08149","18.39462"
"SAN JUAN","-66.04992","18.44994"
"BAYAMON","-66.19056","18.37127"
"BAYAMON","-66.19293","18.36933"
"ARECIBO","-66.26681","18.46326"
"ARECIBO","-66.57161","18.36411"
"MAYAGUEZ","-67.0931","18.22838"
"MAYAGUEZ","-67.05932","18.22724"
"SAN JUAN","-65.9802","18.38162"
"HUMACAO","-65.93629","18.225"
"PONCE","-66.60379","18.02225"
"CAGUAS","-66.29565","17.97648"
"HUMACAO","-65.87032","18.35858"
"CAGUAS","-66.04422","18.21357"
"HUMACAO","-65.87623","18.04398"
"ARECIBO","-66.81882","18.47704"
"BAYAMON","-66.26208","18.26084"
"ARECIBO","-66.41196","18.4804"
"HUMACAO","-65.66956","18.34774"
"HUMACAO","-65.91266","18.05927"
"SAN JUAN","-66.11865","18.433"
"HUMACAO","-65.71441","18.37597"
"MAYAGUEZ","-67.00951","18.03933"
"BAYAMON","-66.12798","18.44205"
"BAYAMON","-66.26339","18.30806"
"PONCE","-66.36297","18.04695"
"HUMACAO","-65.82404","18.15195"
"CAGUAS","-66.16267","18.16772"
"PONCE","-66.50303","18.05122"
"SAN JUAN","-65.95964","18.41931"
"SAN JUAN","-66.02642","18.39787"
"MAYAGUEZ","-67.17126","18.24008"
"PONCE","-66.34056","18.15316"
"SAN JUAN","-65.95122","18.33399"
"CAGUAS","-66.15651","18.11371"
"MAYAGUEZ","-67.13191","18.5025"
"CAGUAS","-66.08167","18.20099"
"SAN JUAN","-66.037","18.39364"
"SAN JUAN","-66.00428","18.39359"
"PONCE","-66.64385","18.15741"
"ARECIBO","-66.38282","18.45529"
"SAN JUAN","-66.13491","18.37089"
"PONCE","-66.60784","18.03116"
"HUMACAO","-65.64617","18.26489"
"SAN JUAN","-66.03485","18.42162"
"SAN JUAN","-66.0587","18.43491"
"SAN JUAN","-66.10136","18.38041"
"PONCE","-66.8483","18.03154"
"HUMACAO","-65.87413","18.17193"
"MAYAGUEZ","-67.18523","17.98145"
"MAYAGUEZ","-67.18775","18.08519"
"MAYAGUEZ","-67.12627","18.13867"
"MAYAGUEZ","-67.15433","18.19461"
"SAN JUAN","-66.07716","18.45002"
"MAYAGUEZ","-67.15245","18.0869"
"BAYAMON","-66.22565","18.32214"
"CAGUAS","-66.11867","17.98261"
"CAGUAS","-66.29105","18.21153"
"SAN JUAN","-66.04169","18.43048"
"PONCE","-66.60445","17.97787"
"SAN JUAN","-66.06068","18.40382"
"CAGUAS","-66.29647","17.9731"
"MAYAGUEZ","-67.1178","18.44374"
"ARECIBO","-66.36765","18.40873"
"BAYAMON","-66.26702","18.32437"
"HUMACAO","-65.75979","18.161"
"MAYAGUEZ","-67.1453","18.14859"
"BAYAMON","-66.40214","18.18472"
"BAYAMON","-66.35607","18.21376"
"HUMACAO","-65.8468","18.08559"
"ARECIBO","-66.85241","18.26961"
"PONCE","-66.57882","18.26075"
"MAYAGUEZ","-67.13108","18.08766"
"PONCE","-66.62139","18.19782"
"MAYAGUEZ","-67.06754","18.44316"
"HUMACAO","-65.84665","18.03649"
"ARECIBO","-66.60302","18.40143"
"CAGUAS","-66.16217","18.23688"
"MAYAGUEZ","-67.03254","18.36094"
"BAYAMON","-66.43287","18.17448"
"BAYAMON","-66.36643","18.24139"
"BAYAMON","-66.18746","18.32943"
"HUMACAO","-65.95272","18.15569"
"MAYAGUEZ","-67.00415","18.37601"
"MAYAGUEZ","-67.16659","18.02859"
"CAGUAS","-66.23225","18.15173"
"CAGUAS","-66.10755","18.1943"
"HUMACAO","-65.88013","18.23526"
"HUMACAO","-65.82759","18.18203"
"MAYAGUEZ","-67.07765","18.40246"
"MAYAGUEZ","-66.93959","18.03966"
"BAYAMON","-66.41504","18.30393"
"BAYAMON","-66.34011","18.26875"
"SAN JUAN","-66.09256","18.34729"
"PONCE",,
"ARECIBO","-66.69891","18.40842"
